用户id,性别,等级,评论,发布时间,点赞数
262315948,保密,6,zc直播开漏，佩利卡其实是海猫做梦梦到的妹子，然后由于印象过于深刻就给做成终末地女主角了，海猫有好东西他真给大伙看啊，感动（）,1762917670,4291
3537118024435959,保密,4,是的这就是我家[OK]干员展示像全家福一样挂在家里（感觉好温馨hhh,1762924030,317
3546704882174246,保密,4,大大方方买量，[吃瓜]没什么见不得人的，三测完明年一季度公测，到时候只会买的更多,1763200036,20
94922713,保密,6,大大方方买，买量有啥不好意思的，总比某些别人买量的时候给人扣个买量仙人帽子自己宣发的时候偷偷冲上买量榜第一的货色强，跟岳不群似的,1763201725,58
123140079,保密,6,希望抽卡别搞米池那套[笑哭]舟的抽卡和送的抽卡资源算我二游见过最良心的，地图彩蛋挺有活的感觉可以期待一下,1763093975,705
15805024,女,6,能不能和粥一样自定义配音！我要不同人说不同语言[大哭]我要洒水车中配+骏卫英配,1762938195,1562
23360177,男,6,"00:20 
这是阿米娅吧，右手还有奎隆铠甲",1762913065,3562
436633552,男,5,我提个建议，帝江号那么大，能不能在工业系统中产出个“打击许可”，在地面打架时可以使用呼叫帝江号的轨道打击()，又帅又能消耗资源溢出时的资源[doge],1762913154,4632
373842712,保密,6,"红色、像塔子姐、类似山哥攻击……
这个卫星代号，不如就叫红塔山吧[妙啊]",1762914188,1782
1669529416,保密,5,广场舞建议做个小游戏，可以和大家伙一起跳，↑↓←→，分数够高有隐藏小奖品可以放到帝江号上，比如舞动的高雅人士[脱单doge],1762959557,12
538089755,保密,4,有测试资格的麻烦告诉我一下终末地桥的位置,1763292754,18
201142920,保密,6,同一个灵魂，如果可以同时用多个身体，是不是可以同时……,1762915276,1032
76948517,男,6,那个扫地车转向认真的吗哈哈哈哈，有我的世界用生物模型做的汽车的既视感[笑哭],1762913072,615
12469377,保密,6,喜欢这种不迎合老外刻板印象的国风,1762927169,2971
470446154,男,5,以防你不知道，视频中一个片段是《明日方舟》巴别塔pv画面的复用[给心心],1762924692,436
3493290619963777,保密,5,pv这里的英文是“理想主义者即便毫无所得，仍坚持给予”，小企鹅管理员又背负了很多……,1762924392,1247
100830515,保密,6,以防大家不知道，PV中这两侧的植物是现实中真实存在的，还很常见，是荠菜的种荚，掰开以后里面是黄色种子（好玩嘻）,1762926970,1297
87637763,保密,6,如果能让大家都拿到资格的话 哪怕让大家一发出自己想要的干员也愿意啊,1762913015,2030
85945263,保密,6,"战斗的时候能不能呼叫火力支援？
比如：侦测到在途的聚变打击",1762943527,140
89306623,男,5,以防你不知道右面牌子的二维码能扫出来,1762916294,440
2015640294,保密,5,能调滤镜能加元素，给自己拍完照修图的感觉，弥补舟不能拍照的遗憾了,1762916362,715
389629563,保密,6,不过感觉路人可以再细化细化？比如加眨眼动作和洒水车转向之类的[Ave Mujica_愉快],1762914691,809
2134437013,男,5,这次我算是终于明白鹰角以前到底买多少量了，根本不是一级别的，之前明日方舟有的视频过百万都费点劲，这一买量属实是太狠了,1763208048,57
1619097,男,6,"既然可以捡💩，那么💩可以吃吗[tv_思考]
（玩鸭科夫玩的[doge]）",1762914442,2557
1363456260,保密,5,"这是铁线蕨的枝条，叶片呈小巧的三角形，整体清新雅致，常作为观赏植物装点空间。
 
铁线蕨的学名是Adiantum capillus-veneris，属于铁线蕨科铁线蕨属。它的叶片薄而嫩，质感轻盈，叶柄乌黑光亮如铁丝，这也是它名字的由来。铁线蕨喜欢温暖、湿润且半阴的环境，多生长在溪边岩石上或潮湿的山林里，在我国长江以南地区分布较广，世界范围内的热带和亚热带地区也能见到它的身影。它不仅具有较高的观赏价值，常被盆栽用于室内绿化，还在一些文化中被赋予了清新、雅致的象征意义，同时部分地区也会用它来制作草药，有清热利湿等功效。",1762917881,357
433899769,男,6,这个换色好帅！,1762914450,901
543985721,保密,6,小知识：现实中的鹈鹕可以通过把脊椎吐出来的方式进行散热，所以这可能是培丽卡脊椎被改造的现实原型参考？,1762930955,167
321356919,保密,6,这几天在用中药敷眼睛，感觉有点效果，希望公测前眼睛能好起来 目前最想玩的二游就是终末地和无限大[保卫萝卜_哇],1762990150,144
565859798,保密,3,我重生了，上一世因为懂塔防的人太少导致诡异降临时无人指挥兵种导致大量兵种浪费，华夏全面溃败，这一世我将制作一款游戏，我将塔防知识全数灌入其中以避免以后人才稀少无人懂塔防兵种大量浪费的情况…………,1763046997,29
35283819,男,6,没怎么玩过明日方舟应该没关系吧，我是真喜欢有基建的游戏,1763023327,593
696530125,保密,5,帝江号能不能投放战略配备，提供轨道火力支援，派出攻击机支援啊[明日方舟野趣拾光表情包_钓鱼],1762915241,601
519864137,男,6,终压抑了[大哭][大哭][大哭]我要盖一个“让我玩终末地”的楼[大哭],1762912870,9907
357510167,保密,5,第一次见到游戏拍照模式可以自带滤镜诶，发pyq的时候不用二次调色了（,1762925769,209
1060063441,男,5,老奶嘴重新出山，上线跟潮一个侍遇，基本上确定潮打法，幻塔打法得先打死，目前看来打死有点难[doge_金箍],1762919596,21
505559608,男,5,驮兽的史啊，你要一手抓投掷物一手抓食用消耗品一手抓合成材料一手抓种植肥料一手抓赠礼彩蛋，一手抓减速恐惧战栗眩晕降攻减疗，一手抓召唤物视为干员然后一手抓隐隐二技能一手抓焰苇二技能一手抓小银斩一手抓引棘三连线一手抓视为丰川祥子攻击范围的延伸，一手抓超大杯藏品一手抓近锋重辅术特狙医一手抓结局[颂乐人偶_眯眼笑],1762990762,87
1891694,保密,6,[明日方舟·音律联觉-愚夜密函_wink]其实黑发龙女就是法与律相关的岁家，只是她要当公务员所以平时带长手套遮住自己的花臂（确信）,1762913923,220
3546721019759002,男,4,看pv的时候就觉得这位姐姐建模很温柔，现在看来和武陵适配度满分了,1762952988,2491
37160378,保密,6,我看这个终末地PV搞的不错，新饼极大丰富，建模相当精细，策略深度、独特美学也受重视，如果能加上我来玩，全面测试就是我们理想中的终末地测试了,1762915833,67
44076718,保密,6,没玩过明日方舟，但是一眼被美术风格吸引了，怎么说呢，就感觉很生活很中式，不是幻想风不是古风，没有抵抗力，我这就马上去下,1762949184,364
102694348,男,6,"开服100天后砥砺百日之类的海报会变就好了, 再加些npc在路边聊成绩",1762924922,15
172115699,男,6,02:02 还有丘比特连接器,1762913304,991
197477575,保密,6,这是什么玩法类型的[Mygo表情包_让我看看]需要粥的基础吗（基本没玩过粥）,1762917844,54
1665883889,保密,5,终末地是目前精度最高的二游建模吗,1762917198,185
6771638,保密,6,端水是对的，还有直接给老玩家资格吧，我真不想只看别人玩了,1762915860,1237
1012092011,保密,5,我要建一座没有测试资格的楼[大哭],1762912876,1009
1923959506,男,5,这难道是角色墙 别以为你闪的那么快我没看到,1762923747,57
355783747,保密,6,问个问题兄弟们，我从三角洲行动那个联动了解到了明日方舟，然后顺着明日方舟又刷到这个游戏，顿时被一眼吸引住了，但是我没玩过明日方舟，还能入坑这个游戏嘛[脸红]要不要先入坑明日方舟再玩终末地[思考],1762945900,206
52875033,保密,5,统一回复下想入坑终末地，但没玩过方舟怕看不懂剧情的。这并不影响，毕竟看板娘都不是同一位了，故事也不在同一片大地了，而且那些长得像方舟的角色，yj都尽量把他们写成前作角色的亲戚后辈或再旅者了，是打算赋予他们新人生的。之后也许会以彩蛋形式推出一些方舟上还能活到终末地的老角色，但那时候应该都把终末地剧情展开比较多了。,1762915003,195
12943318,男,6,十点发玩法前瞻，说明十一点或者明天有正式的玩法介绍喽,1762914188,493
391371993,男,6,出了的时候可以联动来自星尘把那薇立方秽土转生吗,1762948597,117
8474428,保密,6,最后插曲很重要啊，点睛之笔！一直在那吹工业地伟大装逼多没意思，偶尔反差萌一下才是精髓，这才让人喜欢[doge],1762914210,866
649282870,男,6,细节评论数,1762914956,193
35661714,保密,6,能不能把这些角色升一下星？？陈千语和昼雪这么好看你给她们弄成5星我服了，有一说一这两五星的设计我觉得比很多6星强了，明日方舟老玩家谁不知道五星是基本完犊子的，我就为了这两个角色才玩的[大哭],1763004520,64
7720416,男,6,"偷偷提一个愿望。
既然终末地没有设置专武，那可不可以学一下无主之地搞一下武器公司设计。
例如终末地系列武器可以提高挖矿爆率，对矿物类敌人伤害增加等等。
以后哪天眼到卡西米尔，又可以玩一手2077的剧情",1762915077,676
3537108308330821,保密,5,02:13这段一串英文是舟概念pv2结尾,1762948918,182
2090811470,保密,5,三测目前放出来的信息量已经爆炸了，开测压根不敢想会有多惊艳，坐等一个28号开测（说的好像我已经有测试资格了似的,1762923864,27
487040920,女,5,以防你们不知道，二维码是真的[来古-注意][来古-注意]还有鹰角我们的测试资格呢！,1762913713,76
437919700,女,6,豆包：火锅上方的“抖动”是因为火锅的热气让上方空气受热不均、密度忽大忽小，光线穿过时发生不规则折射，看起来就像空气在“晃”。,1762922385,57
516218223,保密,6,这应该是继少前系列后第二个以本游戏世界观为续作的二游吧？,1762913975,88
480681892,女,5,没玩过明日方舟，有没有人解答一下这个玩法跟明日方舟像吗[tv_鬼脸],1763091411,42
27985797,保密,6,音脚发力了 BGM好带感,1762913059,49
496153817,保密,4,明年暑假还真是群雄逐鹿啊，终末地无限大农药世界异环估计都是那时候开服,1762919335,210
3494358129052043,男,4,这难道是武器墙 摆家里欣赏的设定吗？看起来好棒[热词系列_啊?],1762924105,197
381870069,男,6,终压抑了[大哭][大哭][大哭]我要盖一个“让我玩终末地”的楼[大哭],1763006498,12
449035129,保密,5,多的不说，以后明日方舟可不可以和终末地搞自己的联动，就像月计的瓦夜一样[妙啊],1762917723,19
383588651,保密,5,最后那个声音是谁啊[明日方舟_不好意思][明日方舟_不好意思]阿米娅或者进棺前博士的？,1762914840,460
80508096,保密,4,武陵真的太有生活氛围了，洒水车，三年高考五年模拟都有， 就问能考公吗,1762931541,137
30135749,男,6,众所周知，当一个所谓的破绽能被所有人看出来并且专门给了特写，那它就不是破绽，都是海猫的小巧思罢了,1763009642,18
3546629065934856,保密,4,"好买鹰角好买
你最好有匹配这热度的测试资格量[明日方舟野趣拾光表情包_比划比划]",1763212825,13
95526909,保密,6,如果能让大家都拿到资格的话 哪怕让大家对自己想要的干员出一发也愿意啊[大哭],1763018214,40
670430626,男,5,老登问一下红蒂和耀骑士选哪个？,1763077346,492
514541643,保密,5,投稿一下，终末地以后能不能出个墓园玩法啊？以后舟里没得或者快没了的都会提前在墓园里立个碑提醒一下，这样就不怕忘记谁没死以及广大玩家时不时来些大竞猜看看谁的想法更符合将死者的死法，既考验了鹰角文案又让玩家多了份参与性,1763266576,5
450799470,保密,6,哇，还有南北绿豆[笑哭]你猫哥的小巧思这一块儿,1762930822,32
1097761879,保密,5,圈外人不懂就问他和前作明日方舟有什么区别是沿用一个世界观但不是一个时间线还是一个世界观不同设定还有他和前作是否有联系[思考],1763375345,0
1418606692,保密,5,有没有人告诉我，这个和明日方舟本体的剧情有关联吗？没有玩过明日方舟的能玩吗？,1763037800,55
37415006,男,6,上班不敢放声音，现在才听到 01:02 是相声名段《扒马褂》呀![支持],1762949201,10
429889617,男,6,"艾德还是个忠厚人啊！
当被人类发现时，泰拉的一对星门都处于严重损毁中。经过研究者的努力，成功修复了北方损毁较小，一般称为“萨米星门”的巨构。研究发现它通向最初被称为“亚空间”的地方，而之后确定其并非真正的超域。经过无数的尝试和牺牲，通过激活泰拉母星系被称为“天堂支点”的先史文明装置，人类终于找到了这座星门的配对方。这些突破使得人们第一次踏上塔卫二的土地。
在塔卫二的殖民过程中，人们对修改这座星球的星门参数显得十分谨慎。这种谨慎使得人们没有发现其他的星门。不过，文明环带的科学家普遍认为塔卫二星系中存在着其他星门。
泰拉和塔卫二的这一联系维持运行了五年，直到第一次天使战争爆发，人类失去了塔卫二星门。时至今日，塔卫二星门笼罩在塔卫二极光之下，远在人类活动范围之外。它现在的情况，以及泰拉现在的情况……",1763015727,52
49538802,男,6,这个二维码是能正常扫的，链接到ZMD官方网址，小巧思这一块,1762934291,6
36751179,男,6,选奶奶和小羊进终真是太有品了！快上线啊等死了等不及做鸣潮x终末地的失了！,1763026048,88
5417166,男,6,这个bgm是什么风格啊 好带感 有没有什么类似歌的可以推荐！,1762944097,73
2060396045,保密,5,这个角，这个身影，难道是绿色的奶龙？,1762926375,72
802006,男,6,"佩利卡其实是海猫做梦梦到的妹子，然后由于印象过于深刻就给做成终末地女主角了。
————完蛋了，终末地是制作人梦到那里做到那里的产物[秦国小卖部_撒娇]",1762924323,7
1778011683,保密,5,啊？开放大世界？有星际的设定？话说这能和崩坏星穹铁道联动嘛？[星星眼],1763165309,4
454228778,男,6,游戏后期能不能出一个类似于天际线的玩法，给玩家一片土地让玩家自己建造属于自己的城市，建筑零件就由流水线制作[doge_金箍],1762913798,32
4662303,男,6,塔卫二的生物分类学、考古学和天文学应该进步很多吧,1762937832,88
3493083203241998,保密,5,虽然买量了，但这质量确实值得，看了zc、泛式和棉花的试玩视频，只想说，赶紧端上来啊，我要玩！[抓狂][抓狂][抓狂],1763213701,4
361483484,保密,6,最后的老奶奶不会是阿兹卡伦吧？,1762914941,109
23655883,保密,6,建议明日方舟120级、来自星尘首发入手通关的每人给个资格,1762964920,7
3546932163119758,保密,2,"“六年…六年里，我只养育和关注了它…”
“我是它的博士。我们一起生活了六年，就我跟它，博士与罗德岛。找到它之后，我把它从二游的激斗中带了出来，将我放在他身侧…”
“我们之间形成了一种纽带，牢不可破。比我和我其他二游之间的纽带都强，因为它们之中没有一个曾像它那样和我共度那么长的时间。”
“六年。算不得长，我想。六年和万年相比，也就是一个心跳的时间。但即使如此。我还是珍视那段时光。我注视着它的一切。看啊，这是它留给我的终末地。它说我是它的管理员，我清楚地记得它那时的声音是多么骄傲，我能想到，整个塔卫二都在轻声呼唤我的名字…如果我不能得到三测资格的话，那就让森空岛燃烧吧。”",1762959713,5
2746501,女,6,南北绿豆广场舞吗？这很未来国风了...,1762928674,8
11017227,保密,6,最后那句话在舟的pv2也用过欸，情怀这一块,1762928352,22
623675066,保密,6,能不能自定义配音啊，就是加个开关，过剧情的时候统一用一种，平时战斗日常可以单独设定,1762940228,7
343179285,保密,6,没有不给资格的义务！,1762912906,59
34676116,男,6,三角洲，084，怪猎联动，感觉yj的宣发预热拉满了,1763309349,1
521622488,保密,5,这画面精度有点厉害吧[哦呼],1763338103,1
66101900,女,6,有基建蓝图可以照着抄，对我们这些不擅长研究复杂基建的养老玩家太友好了,1762931638,16
615952561,保密,4,尊敬的管理员，恭喜您获得《明日方舟：终末地》全面测试资格，请根据下方指引下载与安装《明日方舟：终末地》，感谢您的支持。请勿轻易相信其他非官方渠道的虚假信息，以免上当受骗。更多测试信息请关注《明日方舟：终末地》的官方微博、B站账号。,1762916384,15
1946320932,保密,5,箱庭……开拓……[热词系列_知识增加]本开拓者要开拓的游戏又多了一个啊[胆大党_微笑],1763010175,4
12060721,男,6,希望剧情能保持明日方舟的高水准呀,1762940723,9
695467890,男,5,三测好大的宣发力度，这视频都干到1000万播放了,1763380597,0
26223014,保密,6,玩法前瞻：看有资格的人直播或者做的视频，然后流下羡慕的泪水[大哭],1762922720,16
595657147,保密,5,孩子们，有没有省流的讲一讲怎么弄资格,1763005830,48
86855802,女,6,帝江号需要干员宿舍和抽水马桶[doge_金箍],1762916009,10
153988662,保密,6,送礼物和好感都还留着是对的，都是好文明[Ave Mujica_挺好],1762914417,6
1623169708,保密,4,还是那句话，要慢慢打磨，但一定要快[大哭],1762913511,10
39120358,保密,6,玩法前瞻一定要有玩法✍✍✍✍,1762913505,10
370503693,保密,4,泰拉大地的开拓精神真的很吸引人，在废土中重建家园的故事让人期待[Akie秋绘七周年_都绘好的],1763352870,0
300592524,男,6,小机器有点像瓦力,1762918130,4
3546879048550560,女,4,泰拉大地的开拓者们总能给人希望，在废土中改造世界的想象令人振奋，通过互动体验更让人感触很深[点赞],1763358426,1
53062385,保密,5,终末地的世界观看起来很有意思，期待在废墟之中开辟新家园的故事。[红苹果和小黑猫_请你吃],1763351083,0
286191867,保密,6,唉卧槽，塔塔怎么这么坏啊😩,1762913446,208
2973605,男,6,"二测的女管:老实的像只呆企鹅
全面测试的女管:至高无上的女皇回到了她忠诚的帝江号",1762916072,424
383798581,保密,6,没抢到资格的兄弟们在我这集合[笑哭],1762912849,1525
25883816,保密,6,最后的小彩蛋算另一种形式的安抚玩家吗？还好我现实里没遇到像鹰角这样的人，要不然说不定被钓成汤姆了[微笑],1762919321,134
19454727,男,6,我总觉得这个洒水车会有一段熟悉的音乐[笑哭],1762913831,2541
358587342,保密,6,太好听了，好听得我再去森空岛和dy看了四次“你没有中奖哦”小动画[明日方舟野趣拾光表情包_昏厥][明日方舟野趣拾光表情包_昏厥],1762918896,41
1463280139,保密,5,免费代肝三测终末地，绝对绿玩无脚本。需要的请联系[doge],1762921081,73
393087900,保密,6,评论区一看到开拓就崩铁这块绷不住了,1763097400,18
133056295,女,5,各位博管，我想建一个“佩丽卡可爱”的楼[Ave Mujica_我有话说],1762920034,359
179973233,男,6,虽然我没有测试资格，可是我已经提前玩上了[无语],1762914389,217
252316917,男,6,可爱捏，多来点这种互动[喜欢],1762912895,48
253761179,女,6,帝企鹅,1762913026,41
50978734,男,6,"在泛式这里说我两个最希望看到的，一个是类似ow的干员母语配音，干员在释放技能或者大招的时候能说两句自己的母语，尤其是这种多文化背景的游戏真的非常酷。
还有就是类似碧蓝幻想relink那种角色之间的互动，在打出连携的时候会说好配合，不愧是你什么的。还有干员聊天互动我真的很想要[2233娘_委屈]
    就像干员平常说话用选的主语言，但是什么打招呼什么的偶尔蹦出两句母语台词，还有打怪的时候如果无伤连击数很高再来点特殊台词，想ow的连杀语音一样什么“我的灵魂正在熊熊燃烧”还有“哈哈哈，我的力量倾泻而出”之类的
没玩过ow的可以看看这个真的很酷[2233娘_卖萌][2233娘_卖萌]
尤其是舟和ow都选择了多国文化背景，而且很多干员真的很有家国情怀，有几句台词就好真的很想要
https://b23.tv/BV1V14y1R7GZ 
https://b23.tv/BV174421c7PE",1763174320,3
1933331929,女,5,话说。。。以后会有左乐和逻各斯吗（整个舟就推他俩了）,1763218837,3
86641438,男,6,所以牢博自从记忆被牢特洗干净后，连肉体都换了来终末地当管理员？甚至还能把小羊这些牢干员拉回来继续打工，该不会为了让玩家代入管理员又要洗一遍记忆吧,1763105898,3
302724641,保密,6,能不能在战斗中向敌人投掷驮兽小零食，这对我真的很重要🙂,1762913618,1166
305885968,男,6,这播放量涨得飞起啊[脸红]前几天看还是500万,1763218440,43
1314922,保密,6,眼罩？面具？挺帅的，但能不能给个选项，给自己选择戴或不戴？,1762913452,4
281022313,女,6,这明显更像荠菜而不是铁线蕨,1762923327,6
2130893795,男,5,我有资格了,1762915828,8
373842712,保密,6,到了塔卫二也要高考的你：,1762913479,89
52875033,保密,5,以防各位不知道海猫有多喜欢远古抽象meme：,1762919376,2255
404998817,男,5,自從知道終末地這款遊戲後我就停止在原神課金了  沒想到一轉眼為了終末地存的閒錢已經有30萬了[笑哭][笑哭][笑哭][笑哭],1762949814,47
364203332,女,6,建议明日方舟图鉴90%以上且登录满2000的牢玩家自动激活测试资格，,1762921785,160
188811090,男,6,[热词系列_啊?]怎么就千万了这流量给的这么大方,1763289093,3
6474902,男,6,[2024明日方舟音律联觉_撒花]等不及可以来找我，提供邦邦两拳穿越到28号服务，醒过来就可以直接玩啦,1762914914,97
394712644,男,6,孩子们，一分零三秒的二维码我扫了，没有东西[笑哭],1762913969,20
205097521,保密,6,还就是那个闪回cg猜信息劲啊，和本家pv一个样😋👍🏻,1762913454,26
85509183,保密,6,啊？居然破千万了？大家热情怎么高涨吗？[笑哭],1763206583,79
11637190,男,6,借位诸公，要是yj再不给我测试资格，那就请允许我告老还乡了,1762914894,26
429889617,男,6,佩丽卡（捧起源石）:恭喜管理员可以撑地啦！,1762913197,209
1409707579,男,5,比起追求短期利益，鹰角却愿意花时间打磨终末地，明明二测那个质量只要调整下战斗就能公测，后续只要微调就能公测上线的事，却用大半年时间将整个游戏改的天翻地覆，还将工程量如此巨大的武陵城端出来了，就冲他们这不将就不敷衍的态度，这次三测资格就算拿不到...就算拿不到...完了，话说不出口了,1762916390,333
3546773123500530,保密,3,"[思考]不知道终末地会怎么讲述之前的故事。但既然博士还是原来的博士。即使失忆了，后面必定也会知道再次进入石棺的缘由，伐木工的降临与否，和明日方舟里面众干员的去向，结局。[微笑]
盲猜一手，或许有些干员会通过新的技术存活至今，或许是灵魂，或许是只保存了记忆。或许是依靠源石[doge_金箍]。
总之，我还是希望再次见到阿米娅，凯尔希，普瑞赛斯。再次见到那些熟悉的面孔，听到那些熟悉的问候。
时间会磨损我们的记忆，泯灭我们的肉体，但只要我们还怀有对彼此的爱，即便是死亡也不能将我们分离。[打call]",1762960752,3
2129703852,男,5,大葱成精了,1762914865,6
481937155,女,5,赶紧出[大哭]从初中等到快高中毕业了还没出[藏狐][无语],1763084491,7
3493270051097492,男,4,兄弟们播放量居然突破1000万了！,1763210330,87
755824,男,6,非常劲啊，多的不说了[明日方舟野趣拾光动态表情包_对的对的] 28号见,1762916969,62
19988566,男,6,买这么多可以多发些资格嘛[张AiNi和老E_鸡泽斯],1763208733,14
204972360,保密,6,不用想我都知道大家会把刻蚀章墙摆出什么形状[笑哭],1762940840,12
289334440,男,6,让我玩终末地[2024明日方舟音律联觉_呜呜][2024明日方舟音律联觉_呜呜][2024明日方舟音律联觉_呜呜],1762931804,187
66775368,保密,6,"“终·末·狂·乱【终末地再不让大家玩一些人就要发疯癫狂】”
“无·终·奇·语【没有终末地测试资格的人会说出奇怪的话语】”",1762913520,181
651235409,保密,5,放个普普试衣,1763211421,8
524331594,保密,5,"这是已知的任何一个落地角色吗
还是说是卫星",1762913682,53
1664014435,保密,5,第一眼看成成都之心了，我还有救吗[笑哭],1762913092,32
21307549,女,6,这是准备转搞笑役了？[吃瓜],1763005514,18
473988016,保密,6,我什么时候看到弹幕鸣潮的“难道说”才不会笑？[笑哭],1763178825,3
395114177,保密,6,兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔兔[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼]！！！！！！！！！！,1762912903,34
22352793,保密,6,刚刚不小心点了一下,1763104792,32
262109611,保密,6,"中：有点陌生
英：有点感觉
日：听懂了
韩：没听过",1762913232,23
175313223,保密,6,鹰角我想要这个[大哭][大哭][大哭],1763347172,18
2023296547,保密,4,我给鹰角氪过金，我给方舟充过钱，我要玩终末地，我要玩终末地——[大哭][大哭][大哭],1762914355,65
2070788,保密,6,环卫车转向be like：,1762917096,31
52847018,女,6,流浪地球联动一下[微笑]我要图恒宇,1762917008,10
380800207,女,6,那个环卫车我能开吗，感觉挺适合我垃圾佬身份的,1762917109,187
614317945,保密,5,小陈大喊一声：龙潜于渊！,1762915233,18
1016374766,保密,4,有没有知情人士能跟我说一下我的阿米驴还能在《四字游戏：三个字》里看到吗[笑哭],1763127181,10
454138565,保密,6,我确实不生气[Mygo表情包_有趣的女人],1762914785,6
629514168,男,6,"别的游戏：我TM赢赢赢赢赢赢
终末地：布豪孩子们我们有个路人动作不平滑，要褒姒了我们完蛋了[灵魂出窍]",1762936715,22
52875033,保密,5,看完视频的魔王阿米娅:“嘻嘻，我一定要和主世界博士一起活到终末地口牙😋”,1762915226,29
382512169,保密,5,我看咱们跟终末地也是对苦命鸳鸯啊,1762920403,7
1308146436,保密,5,祝我生日快乐[2024明日方舟音律联觉_撒花],1763105133,23
1093360612,女,6,已完成每日任务：这片大地（1/1）,1762936660,7
3461570497612737,男,5,兄弟们我一个大胆的想法，博士和普瑞赛斯躺进一个石棺里，出来个管理员[doge],1763080921,29
335953108,保密,6,再见了，所有的难道说，没想到竟然抽到终末地资格了,1763349646,3
660079748,保密,5,武陵陈姐[doge],1762915694,9
273143074,保密,5,终末地官方你好,1762913352,23
439328509,保密,5,这是在秀混剪吧hhh，不赖,1762912964,59
389983543,女,5,这么一对比，女管真像个小企鹅(º﹃º ),1762913462,12
33620784,男,5,我从南极来，最喜欢持石，灵感菇果茶，咕咕又嘎嘎……,1762913509,6
373842712,保密,6,温蒂：何意味,1762913079,16
7296773,男,6,原来还可以开洒水车和打开洒水车看吗……太有活了鹰角,1762925158,57
211980600,男,6,全面测试一定要全面[大哭][大哭][大哭],1762912962,14
3493092122430273,保密,4,"几个常见问题后排解答：
1、没有玩明日方舟的玩这个没有任何问题，只是共享一些世界观，除了个别彩蛋外没有任何代沟
2、潜能目前满潜加在一起一共提升20%左右，不用担心未来逼氪，因为前作运营6年了是没有动过潜能提升率的",1763179710,3
511103878,保密,5,好，我玩！[蔚蓝档案静态_期待],1763022481,5
440109411,男,6,好吧，原谅你了[Cat2_Nyampage],1762922222,11
454767490,保密,5,告诉我阿米娅会以再旅者出现吗5555[2024明日方舟音律联觉_加班],1762960343,84
14542352,保密,6,食品级,1762924119,6
468329,女,6,我擦 这是动作类吗 还是啥 看着好好玩,1763052523,8
1031547703,保密,5,角！！,1762923697,21
507180626,保密,5,我要建一个只有难道说的楼[东方收藏集2025静态表情_爆米花],1762912963,16
389128739,女,6,好笑吗？我只看到一只快要被淹死的鹈鹕[2024明日方舟音律联觉_突然出现]话说是不是可以叫弱水鹕）,1762942161,7
165869298,保密,6,01:38 好美的服饰,1762912994,12
494059200,保密,5,有点像哄孩子呢[给心心][给心心],1762941399,4
2134437013,男,5,我以为自己眼瞎了[笑哭]1000w,1763206120,16
512938321,男,6,"我真幸运，刚玩完丝之歌就可以玩到明日方舟终末了[妙啊][妙啊][妙啊]
我倒是无所谓，别比黑钟馗还晚就行[doge][doge][doge]",1762917187,12
3461581931284785,男,4,吓我一跳我还以为开测了呢，看板娘也太可爱了,1762913548,27
3546599829539804,男,4,广场舞这个点到底是谁想出来的！！来人！快赏,1762915545,10
676928717,保密,5,这个白毛 [嘘声]猜一手是反派组，海猫你告诉我为什么反派也搞这么帅,1762924310,20
